Saami {prop} (Saami language)	 :: Samisk språk
screech owl {n} (Tyto alba)	 :: tårnugle
screen {n} (informational viewing area)	 :: [Bokmål] skjerm {m}; [Nynorsk] skjerm {m}
screen {n} (physical divider)	 :: [Bokmål] skjerm {m}; [Nynorsk] skjerm {m}
screen {n} (viewing area of a movie)	 :: [Bokmål] skjerm {m}, lerret {n}; [Nynorsk] skjerm {m}, lerret {n}, lereft {n}
screencap {n} (screenshot) SEE: screenshot	 ::
screen capture {n} ( picture or image captured from a computer screen; a screenshot)	 :: skjermskudd {n}, skjermutklipp {n}, skjermutskrift {m}
screw {n} (act of screwing)	 :: skruing {m}
screw {n} (Archimedes screw) SEE: Archimedes screw	 ::
screw {n} (backspin) SEE: backspin	 ::
screw {n} (fastener)	 :: skrue {m}
screw {v} (to connect or assemble pieces using a screw)	 :: [Bokmål] skru
screwdriver {n} (drink)	 :: screwdriver {m}
screwdriver {n} (tool)	 :: skrujern, skrutrekker
script {n} (procedure or program in computing)	 :: [Bokmål] skript
Scripture {n} (Bible) SEE: Bible	 ::
Scripture {n} (Edda) SEE: Edda	 ::
Scripture {n} (Koran) SEE: Koran	 ::
Scripture {n} (Tanakh) SEE: Tanakh	 ::
scriptwriter {n} (screenwriter) SEE: screenwriter	 ::
scrounge {n} (scrounger) SEE: scrounger	 ::
scrub {n} (cancellation) SEE: cancellation	 ::
scrub {v} (to rub hard)	 :: skrubbe
scrummaging machine {n} (scrum machine) SEE: scrum machine	 ::
scrump {v} (to steal fruit, especially apples, from a garden or orchard)	 :: gå på slang/epleslang
scruple {n} (hesitation from the difficulty of determining what is right)	 :: [Bokmål] skruppel {m}
scrupulous {adj} (having principles)	 :: [Bokmål] skrupuløs, prinsippfast
scrupulous {adj} (having scruples)	 :: [Bokmål] skrupuløs, samvittighetsfull
scrupulous {adj} (meticulous)	 :: [Bokmål] skrupuløs, nøye, grundig, omhyggelig
scrutinise {v} (scrutinize) SEE: scrutinize	 ::
scrutinize {v} (to examine with great care)	 :: granske
scrutiny {n} (intense study)	 :: finlesing; [Bokmål] nøye undersøkelse
scrutore {n} (escritoire) SEE: escritoire	 ::
scull {n} (small boat)	 :: singelsculler
Sculptor {prop} (constellation)	 :: [Bokmål] Billedhuggeren; [Nynorsk] Bilethoggaren, Bildehoggaren
sculpture {n} (art of sculpting)	 :: [Bokmål] skulptur {m}; [Nynorsk] skulptur {m}
sculpture {n} (work of art created by sculpting)	 :: [Bokmål] skulptur {m}; [Nynorsk] skulptur {m}
scumbag {n} (condom) SEE: condom	 ::
scutch grass {n} (Bermuda grass) SEE: Bermuda grass	 ::
scythe {n} (farm tool)	 :: ljå {m}
Scythia {prop} (region of Central Eurasia)	 :: Skytia
Sczedrzik {prop} (Szczedrzyk) SEE: Szczedrzyk	 ::
sea {n} (body of water)	 :: hav {n}
seabird {n} (any bird that spends most of its time in coastal waters)	 :: [Bokmål] sjøfugl {m}; [Nynorsk] sjøfugl {m}
seaborgium {n} (chemical element with atomic number 106)	 :: seaborgium
seadog {n} (dogfish) SEE: dogfish	 ::
seadog {n} (sailor accustomed to the sea)	 :: [lit.: sea bear] sjøbjørn {c}
sea eagle {n} (Haliaeetus albicilla) SEE: white-tailed eagle	 ::
seafarer {n} (sailor) SEE: sailor	 ::
seafaring {adj} (fit to travel on the sea) SEE: seagoing	 ::
seafood {n} (seafood)	 :: sjømat
seagoing {adj} (made for or used on the high seas)	 :: [Bokmål] sjøgående
sea green {adj} (of a bluish green colour)	 :: [Bokmål] sjøgrønn
seagull {n} (bird of the family Laridae)	 :: [Bokmål] måke {f} {m}, måse {m}; [Nynorsk] måke {f} {m}, måse {m}
seal {n} (pattern, design)	 :: [Nynorsk] segl
seal {n} (pinniped)	 :: sel {m}
seal {n} (security against leakage)	 :: segl {n}
seal {n} (something designed to prevent liquids or gasses from leaking)	 :: forsegling {m}
sea leopard {n} (Hydrurga leptonyx) SEE: leopard seal	 ::
sea lettuce {n} (beach cabbage) SEE: beach cabbage	 ::
sea lettuce {n} (sand lettuce) SEE: sand lettuce	 ::
sea lettuce {n} (slender sea lettuce) SEE: slender sea lettuce	 ::
sea lion {n} (member of the Otariidae family)	 :: sjøløve {m}
seaman {n} (mariner or sailor)	 :: [Bokmål] sjømann {m}; [Nynorsk] sjømann {m}
seamanship {n} (skill and knowledge used in handling a vessel)	 :: [Bokmål] sjømannskap {m} {n}; [Nynorsk] sjømannskap {m} {n}
sea oats {n} (Chasmanthium latifolium) SEE: river oats	 ::
Sea of Japan {prop} (Asian sea)	 :: Japanhavet
sea-parrot {n} (puffin) SEE: puffin	 ::
seaplane {n} (an aircraft)	 :: sjøfly {n}
search {v} ((followed by "for") to look thoroughly)	 :: lete
search {v} (to look throughout (a place) for something)	 :: [Bokmål] søke, lete
search engine {n} (application that searches for data)	 :: [Bokmål] søkemotor {m}; [Nynorsk] søkemotor {m}
sea serpent {n} (sea monster)	 :: sjøorm {m}
seashell {n} (shell)	 :: [Bokmål] skjell
seashore {n} (foreshore) SEE: foreshore	 ::
sea-sickness {n} (seasickness) SEE: seasickness	 ::
seaside resort {n} (coastal holiday resort)	 :: [Bokmål] badeby {m}; [Nynorsk] badeby {m}
season {n} (part of year with something special)	 :: sesong {m}, løpetid {m} {f} [mating season]
season {n} (quarter of a year)	 :: årstid {m} {f}, sesong {m}
season {v} (to become mature)	 :: modnes
season {v} (to flavour food)	 :: krydre, smaksette
sea trout {n} (Salmo trutta morpha trutta)	 :: sjøaure; [Bokmål] sjøørret
sea urchin {n} (any of many marine echinoderms of the class Echinoidea)	 :: kråkebolle {m}; [Bokmål] sjøpiggsvin {n}, sjøpinnsvin {n}, kråkebolle {m}; [Nynorsk] sjøpiggsvin {n}, kråkebolle {m}
Sebastian {prop} (given name)	 :: Sebastian
secession {n} (The act of seceding)	 :: løsrivelse
second {adj} (second (numeral))	 :: andre
second {adj} (that which comes after the first)	 :: andre {n}
second {n} (attendant of a duel or boxing match standing in for a contestant)	 :: sekundant {m}
second {n} (manufactured item that fails to meet quality control standards)	 :: feilvare {m}
second {n} (one who agrees in addition)	 :: støtte
second {n} (short, indeterminate amount of time)	 :: sekund {n}, øyeblikk {n}
second {n} (SI unit of time)	 :: sekund {n}
second {n} (unit of angular measure)	 :: sekund {n}
secondary smoking {n} (passive smoking) SEE: passive smoking	 ::
second cousin {n} (grandnephew or grandniece of a grandparent)	 :: tremenning {m}, nestsyskenbarn {n}
second fiddle {n} (music: fiddle part in harmony to the first fiddle)	 :: annenfiolin {m}, andrefiolin {m}
second fiddle {n} (music: person playing second fiddle)	 :: annenfiolin {m}, andrefiolin {m}
second-half {n} (second half) SEE: second half	 ::
second hand {adj} (secondhand) SEE: secondhand	 ::
second hand {n} (the hand or pointer that shows the number of seconds that have passed)	 :: [Bokmål] sekundviser {m}; [Nynorsk] sekundvisar {m}
second-hand smoke {n} (smoke from cigarettes, that any person including non-smokers could breathe in)	 :: passivrøyking {m} {f}
second language {n} (language spoken other than the mother tongue)	 :: [Bokmål] andrespråk {n}; [Nynorsk] andrespråk {n}
second person {n} (the form of a verb used when the subject of a sentence is the audience)	 :: andre person
second-person {adj} (in the second person)	 :: andre person
Second World War {prop} (World War II) SEE: World War II	 ::
secret {adj} (being or kept hidden.)	 :: hemmelig, skjult
secret {n} (knowledge that is hidden)	 :: [Bokmål] hemmelighet {m} {f}, løyndom {m}; [Nynorsk] løyndom {m}, hemmelegheit {f}
secretion {n} (secreted substance)	 :: [Bokmål] sekret {n}; [Nynorsk] sekret {n}
secretive {adj} (having an inclination to secrecy)	 :: hemmelighetsfull
sect {n} (religious movement)	 :: sekt {m}
section {n} (image that shows an object as if cut along a plane) SEE: cross-section	 ::
section {v} (to commit to mental hospital)	 :: tvangsinnlegge
secure {adj} (Firm and not likely to fail; stable)	 :: sikker
secure {adj} (free from anxiety or doubt; unafraid)	 :: sikker
secure {adj} (free from attack or danger; protected)	 :: sikker
secure {adj} (free from the danger of theft; safe)	 :: sikker
secure {adj} (free from the risk of eavesdropping, interception or discovery; secret)	 :: sikker
secure {adj} (Free from the risk of financial loss; reliable)	 :: sikker
securely {adv} (in a secure manner)	 :: sikkert
security {n}	 :: [1,4] sikkerhet {m}, [2] sikkerhetstjeneste {m}, [3] obligasjon {m}, [3] gjeldsbrev {n}
Security Council {prop} (UN Security Council) SEE: UN Security Council	 ::
security guard {n} (person employed to provided security)	 :: [Bokmål] sikkerhetsvakt {m} {f}; [Nynorsk] sikkerheitsvakt {f}
sedentary {adj} (not moving, migratory)	 :: stillesittende
Sedna {prop} (planetoid)	 :: Sedna
see {v} (perceive with the eyes)	 :: [Bokmål] se; [Nynorsk] sjå
see {v} (understand)	 :: skjønne, forstå
seed {n} (fertilized grain)	 :: [Bokmål] frø {n}; [Nynorsk] frø {n}
seed grain {n} (seed corn) SEE: seed corn	 ::
seeing-eye dog {n} (seeing-eye dog) SEE: guide dog	 ::
seek {v} (to try to find)	 :: [Bokmål] søke, lete
seel {v} (To blind) SEE: blind	 ::
seem {v} (to appear)	 :: [Bokmål] synes
seemingly {adv} (apparently) SEE: apparently	 ::
see off {v} (to defeat) SEE: defeat	 ::
seesaw {n} (structure)	 :: dumphuske {m}
seesaw {v} (to fluctuate)	 :: svinge
seesaw {v} (to use a seesaw)	 :: dumpe
see the forest for the trees {v} (to be overwhelmed by detail to the point where it obscures the overall situation)	 :: ikke se skogen for bare trær
see the light of day {v}	 :: [Bokmål] se dagens lys
see-through {adj} (translucent) SEE: translucent	 ::
see-through {adj} (transparent) SEE: transparent	 ::
see ya {interj} (see you) SEE: see you	 ::
segment {n} (circular segment) SEE: circular segment	 ::
segment {n} (line segment) SEE: line segment	 ::
segregate {v} (to separate)	 :: segregere
seine {n} (fishing net)	 :: [Bokmål] not {m} {f}; [Nynorsk] not {f}
seismologic {adj} (relating to the field of seismology) SEE: seismological	 ::
seismology {n} (the study of the vibration of the Earth's interior)	 :: [Bokmål] seismologi {m}; [Nynorsk] seismologi {m}
sei whale {n} (whale of the rorqual family)	 :: seihval {m}
seize {v} (grab)	 :: gripe
seize {v} (take advantage)	 :: gripe
seize the day {v} (enjoy the present)	 :: gripe dagen
seizure {n} (act of taking possession, as by force or right of law)	 :: inndragning {m}
seizure {n} (sudden attack or convulsion)	 :: krampe {m} {f}
seizure {n} (sudden onset of pain or emotion)	 :: [Bokmål] smerteanfall {n}; [Nynorsk] smerteåtak
sejunct {adj} (separate) SEE: separate	 ::
seldom {adv} (infrequently, rarely)	 :: [Bokmål] sjelden; [Nynorsk] sjeldan
selection {n} (process or act of selecting)	 :: utvalg {n}, utvelgelse {m}
selenium {n} (chemical element)	 :: selen
selenology {n} (the study of the moon and several satellites)	 :: selenologi {m}
self {n} (individual person as the object of his own reflective consciousness)	 :: selv
self-adhesive {adj} (adhesive)	 :: [Bokmål] selvklebende
self-control {n} (ability to control one's desires and impulses)	 :: selvkontroll {m}
self-educated {adj} (having learned without the direction of a teacher)	 :: autodidakt {m}, selvlært {m}
selfie {n} (photographic self-portrait)	 :: [Bokmål] selfie {m}
self-sufficient {adj} (able to provide for oneself independently of others)	 :: [Bokmål] selvberget, selvforsørgende
self-sufficient {adj} (too confident)	 :: [Bokmål] innbilsk, selvopptatt
self-taught {adj} (educated by oneself) SEE: self-educated	 ::
sell {v} (to agree to transfer goods or provide services)	 :: selge
sell {v} (to be sold)	 :: få solgt, bli solgt
seller {n} (someone who sells)	 :: [Bokmål] selger {m}, selgerinne {m} {f}; [Nynorsk] seljar {m}, seljarinne {f}
Selma {prop} (female given name)	 :: Selma
semantics {n} (individual meanings of words)	 :: semantikk {m}
semantics {n} (science of the meaning of words)	 :: semantikk {m}
semantics {n}	 :: semantikk {c}
semantics {n} (study of the relationship between words and their meanings)	 :: semantikk {m}
semblance {n} (likeness, similarity)	 :: [Bokmål] likhet {m}
semen {n} (male reproductory fluid)	 :: sæd {m}
semi- {prefix} (half (prefix))	 :: halv-
semiacetal {n} (hemiacetal) SEE: hemiacetal	 ::
semiannual {adj} (half-yearly)	 :: halv årlig
semicolon {n} (punctuation mark ';')	 :: semikolon {c}
semigroud {n} (semiheap) SEE: semiheap	 ::
seminar {n} (class held for advanced studies)	 :: seminar {n}
seminar {n} (meeting held for the exchange of useful information)	 :: seminar {n}
seminude {adj} (half-naked) SEE: half-naked	 ::
semi-nude {adj} (seminude) SEE: seminude	 ::
semi-official {adj} (having some degree of official authority)	 :: offisiøs
semitone {n} (interval between adjacent keys)	 :: halvtone {m}
semivowel {n} (sound in speech)	 :: [Nynorsk] halvvokal
semla {n} (pastry)	 :: fastelavnsbolle
senate {n} (the upper house in some bicameral legislative systems)	 :: senat
send {v} (make something go somewhere)	 :: sende
Seneca {prop} (tribe)	 :: senecaene
Senegal {prop} (Republic of Senegal)	 :: Senegal
Senegalese {adj} (pertaining to Senegal)	 :: [Bokmål] senegalsk; [Nynorsk] senegalsk
Senegalese {n} (person from Senegal)	 :: [Bokmål] senegaleser {m}; [Nynorsk] senegalesar {m}
sense {n} (method to gather data)	 :: sens {m}
sent {v} (past participle of "to send")	 :: sendt
sentence {n} (decision of a jury)	 :: [Bokmål] domsslutning {m}, dom {m}
sentence {n} (grammatically complete series of words consisting of a subject and predicate)	 :: setning {c}
sentence {n} (judicial order for punishment, conviction)	 :: dom {m}
sentence {n} (punishment imposed on a person convicted of a crime)	 :: straff {m}
sentence {v} (declare a sentence on a convicted person)	 :: dømme
sentient {adj} (conscious or aware)	 :: [Bokmål] sansende
separately {adv} (in a separate manner)	 :: særskilt
September {prop} (ninth month of the Gregorian calendar)	 :: september
septic tank {n} (slang: Yank) SEE: Yank	 ::
Septuagint {prop} (an ancient translation of the Hebrew Bible into Greek)	 :: Septuaginta
sequent {adj} (that comes after) SEE: subsequent	 ::
sequent {adj} (that follows on) SEE: consequent	 ::
sequester {v} (to separate from all external influence)	 :: sekvestrere
seraph {n} (highest order of angels)	 :: seraf
Serb {n} (person of Serb descent)	 :: [Bokmål] serber {m}
Serbia and Montenegro {prop} (former country on the Balkan Peninsula)	 :: Serbia og Montenegro
Serbian {adj} (pertaining to Serbia and Serbians)	 :: [Bokmål] serbisk; [Nynorsk] serbisk
Serbian {adj} (pertaining to the Serbian language)	 :: serbisk
Serbian {n} (person from Serbia; see also Serb#Translations, see also: Serb)	 :: [Bokmål] serber {m}; [Nynorsk] serbar {m}
Serbian {n} (Serb) SEE: Serb	 ::
Serbian {prop} (the standardized variety of Serbo-Croatian)	 :: [Bokmål] serbisk {m}; [Nynorsk] serbisk {m}
serf {n} (semifree peasant)	 :: [Bokmål] leilending {m}, livegen; [Nynorsk] leiglending {m}, liveigen
serfdom {n} (feudal system)	 :: livegenskap
series {n} (in analysis: sum of the terms of a sequence)	 :: rekke {m} {f}
serif {n} (short line in a font)	 :: serif
serigraphy {n} (screen printing) SEE: screen printing	 ::
serious {adj} (important; weighty; not trifling; leaving no room for play)	 :: alvorlig, seriøs
serous {adj} (containing, secreting, or resembling serum)	 :: serøs
serpent {n}	 :: slange
Serpentarius {prop} (Ophiuchus) SEE: Ophiuchus	 ::
serve {n} (AUS: portion of food) SEE: serving	 ::
server {n}	 :: tjener {m}
serve time {v} (to be in prison) SEE: do time	 ::
Servian {adj} (Serbian) SEE: Serbian	 ::
Servian {n} (Serbian) SEE: Serbian	 ::
service {n} (economics: work performed)	 :: [Bokmål] tjeneste; [Nynorsk] teneste
service station {n} (gas station) SEE: gas station	 ::
serviette {n} (napkin) SEE: napkin	 ::
sesterce {n} (sestertius) SEE: sestertius	 ::
set {n} (badger’s home) SEE: sett	 ::
set {n} (plural: set theory) SEE: set theory	 ::
set {v} (of a heavenly body: to disappear below the horizon)	 :: gå ned
set {v} (to adjust)	 :: stille, justere
set {v} (to arrange with dishes and cutlery)	 :: dekke
set {v} (to compile, to make (a crossword))	 :: sette sammen
set {v} (to determine)	 :: bestemme, fastlegge
set {v} (to introduce)	 :: introdusert
set {v} (to locate, to backdrop)	 :: sette, plassere
set {v} (to prepare (a stage or film set))	 :: stille opp
set {v} (to put something down)	 :: putte, sette, plassere, stille
set {v} (to sit) SEE: sit	 ::
set {v} (to solidify)	 :: stivne, størkne
Seth {prop} (the third son of Adam and Eve)	 :: Set
set off {v} (To offset) SEE: offset	 ::
Setswana {prop} (Tswana) SEE: Tswana	 ::
sett {n} (home of a badger)	 :: grevlinghi {n}
set theory {n} (mathematical theory of sets)	 :: mengdelære
settlement agreement {n}	 :: forlik
settler {n} (someone who settles in a new location, especially one who makes a previously uninhabited place his home)	 :: [Bokmål] nybygger {m}; [Nynorsk] nybyggjar {m}
Sevastopol {prop} (city)	 :: [Bokmål] Sevastopol
seven {n} (the figure seven)	 :: sjutall {n}, syvtall {n}
seven {num} (cardinal number 7)	 :: sju, syv
seven deadly sins {n} (the cardinal sins)	 :: syv dødssynder {p}
sevennight {n} (period of seven consecutive days and nights) SEE: week	 ::
seventeen {num} (cardinal number)	 :: sytten
seventh {adj} (ordinal form of the number seven)	 :: (abbreviation 7.); [Bokmål] sjuende, syvende; [Nynorsk] sjuande
Seventh-day Adventist {n} (member of the Seventh-day Adventist Church)	 :: [Bokmål] syvendedagsadventist {m}
seventieth {adj} (ordinal form of the number seventy (70))	 :: syttinde
seventy {num} (cardinal number)	 :: sytti
seventy-nine {num} (79)	 :: syttini
several {determiner} (consisting of a number more than two, but not very many)	 :: [Bokmål] flere, fler
severance {n} (severance payment) SEE: severance pay	 ::
severance payment {n} (money paid to employee in case of layoff) SEE: severance pay	 ::
Sevettijärvi {n} (village in Finland)	 :: Sevettijärvi; [Bokmål] Sevettijärvi; [Nynorsk] Sevettijärvi
sew {v} ((intransitive) use a needle)	 :: [Bokmål] sy; [Nynorsk] sy
sew {v} ((transitive) use a needle)	 :: [Bokmål] sy; [Nynorsk] sy
sewer {n} (pipes used to remove human waste and to provide drainage)	 :: [Bokmål] kloakk
sewerage {n} (sewage) SEE: sewage	 ::
sewing circle {n} (social meeting of women)	 :: syklubb {m}
sewing machine {n} (device)	 :: [Bokmål] symaskin {m}; [Nynorsk] symaskin {m} {f}
sex {n} (act of sexual intercourse)	 :: [Bokmål] sex {m}, samleie {n}; [Nynorsk] sex {m}, samlege {f}, samleie {n}
sex {n} (gender (female or male))	 :: kjønn {n}
sex economy {n}	 :: seksualøkonomi
sexism {n} (gender discrimination or dislike)	 :: [Bokmål] sexisme {m}
sexless {adj} (not having gender)	 :: [Bokmål] kjønnsløs, kjønnslaus; [Nynorsk] kjønnslaus
sex life {n} (part of a person's life that is directly concerned with sexual activity)	 :: sexliv {n}
sex offender {n} (somebody who has committed a crime of a sexual nature)	 :: sexforbryter {m}
sexology {n} (The study of sex and sexuality)	 :: sexologi {m}
sex position {n} (sex position)	 :: [Bokmål] samleiestilling {c}
sexton {n} (church official)	 :: [Bokmål] klokker {m}; [Nynorsk] klokkar {m}
sex toy {n} (sex aid)	 :: sexleketøy {n}
sextuplet {n} (one of six born together)	 :: [Bokmål] seksling {m}; [Nynorsk] seksling {m}
sexual {adj} (of or relating to having sex)	 :: [Bokmål] seksuell; [Nynorsk] seksuell
sexual {adj} (of or relating to sexuality)	 :: [Bokmål] seksuell; [Nynorsk] seksuell
sexual intercourse {n} (sexual interaction)	 :: kjønnslig omgang {m}, samleie {n}
sexuality {n} (sexual orientation) SEE: sexual orientation	 ::
sexuality {n} (that which is characterized or distinguished by sex)	 :: [Bokmål] seksualitet {m}; [Nynorsk] seksualitet {m}
sexually {adv} (by means of intercourse)	 :: [Bokmål] seksuelt; [Nynorsk] seksuelt
sexually {adv} (in a sexual manner)	 :: [Bokmål] seksuelt; [Nynorsk] seksuelt
sexual orientation {n} (sexual orientation)	 :: seksuell orientering
sexy {adj} (having sexual appeal)	 :: sexy, kjønnslig, seksuell
Seychelles {prop} (country in East Africa)	 :: Seychellene
Seychellois {n} (Someone from the Seychelles of Seychellois descent)	 :: [Bokmål] seycheller {m}
shackle {n} (a restraint fit over an appendage)	 :: jern {n}
shadbush {n} (serviceberry) SEE: serviceberry	 ::
shadow {n} (dark image projected onto a surface)	 :: skygge {m}
shadow-box {n} (diorama) SEE: diorama	 ::
shadowbox {n} (diorama) SEE: diorama	 ::
shadow-box {v} (shadowbox) SEE: shadowbox	 ::
Shadow Cabinet {n} (a senior group of opposition politicians who shadow the members of the government)	 :: [Bokmål] skyggekabinett {n}, skyggeregjering {m} {f}
shaft {n} (long narrow passage sunk into the earth)	 :: [Bokmål] sjakt {m} {f}; [Nynorsk] sjakt {f}
shaft {n} (vertical passage housing a lift)	 :: [Bokmål] sjakt {m} {f}; [Nynorsk] sjakt {f}
shag {n} (act of sexual intercourse)	 :: knull {n}
shag {v} (to have sexual intercourse with)	 :: knulle
shah {n} (king of Persia)	 :: sjah
shahada {n} (Islamic declaration of belief)	 :: sjahádah, shahada, shahada, shahadah
shaheed {n} (martyr) SEE: martyr	 ::
shake {n} (beverage made of ice cream and carbonated drink) SEE: float	 ::
shake {v} (intransitive: to dance)	 :: shake
shake {v} (intransitive: to shake hands)	 :: handhilse; [Bokmål] håndhilse
shake {v}	 :: riste
shake {v} (to move one's head from side to side)	 :: riste; [Bokmål] ryste
shake {v} (transitive: to cause to move)	 :: riste
shake {v} (transitive: to disturb emotionally)	 :: [Bokmål] ryste
shale {n} (sedimentary rock)	 :: [Bokmål] leirskifer {m}; [Nynorsk] leirskifer {m}
shale gas {n} (natural gas)	 :: [Bokmål] skifergass {m}; [Nynorsk] skifergass {m}
shall {v} (indicating determination or obligation)	 :: skulle
shall {v} (indicating the simple future tense)	 :: skal
shall {v} (in questions to suggest a possible future action)	 :: skulle
shallow {adj} (concerned mainly with superficial matters)	 :: [Bokmål] overfladisk, overflatisk; [Nynorsk] overflatisk
shallow {adj} (extending not far downward)	 :: [Bokmål] grunn; [Nynorsk] grunn
shallow {adj} (having little depth and significantly less deep than wide)	 :: [Bokmål] flat, lav, grunn; [Nynorsk] flat, lav, grunn
shallow {adj} (lacking interest or substance)	 :: [Bokmål] overfladisk, overflatisk; [Nynorsk] overflatisk
shame {n} (something to regret)	 :: [Bokmål] synd {m}; [Nynorsk] synd {f}
shame {n} (uncomfortable or painful feeling)	 :: skam
shameful {adj} (causing or meriting shame or disgrace)	 :: skamfull
shaming {n} (the activity of shaming)	 :: [Bokmål] skampåføring {c}
shampoo {n} (product for washing the hair or other fibres)	 :: [Bokmål] sjampo {m}
shamrock {n} (any of several small plants, forms of clover) SEE: clover	 ::
shapeshifter {n} (A creature capable of changing its appearance)	 :: [Bokmål] hamløper {m}; [Nynorsk] hamløypar {m}
sharaga {n} (sharashka) SEE: sharashka	 ::
shard {n} (piece)	 :: [Bokmål] skår {n}; [Nynorsk] skar {n}
share {n} (financial instrument)	 :: aksje {m}
share {n} (plowshare) SEE: plowshare	 ::
shareholder {n} (one who owns shares of stock)	 :: aksjonær, aksjeeier
shari'a {n} (Islamic religious law)	 :: sharia
shark {n} (scaleless cartilaginous fish)	 :: [Bokmål] hai {m}; [Nynorsk] hai {m}
sharp {adj} (able to cut easily)	 :: skarp
sharp {adj} (intelligent)	 :: skarp, smart
sharp {adj} (intense and sudden (of pain))	 :: skarp
sharp {adj} (of a note, played a semitone higher than usual)	 :: -iss
sharp {adj} (pointed, able to pierce easily)	 :: spiss
sharpen {v} (to make sharp)	 :: [Bokmål] skjerpe, kvesse, hvesse; [Nynorsk] skjerpe, kvesse
sharp-shinned hawk {n} (a small hawk)	 :: tverrhalehauk {m}
shashlik {n} (skewered dish)	 :: sjasjlyk
shave {v}	 :: barbere
shaver {n} (barber) SEE: barber	 ::
shaver {n} (boy) SEE: boy	 ::
shaver {n} (pillager) SEE: pillager	 ::
shaver {n} (sharper) SEE: sharper	 ::
shaw {n} (thicket) SEE: thicket	 ::
shchi {n} (a type of Russian soup)	 :: sjtsji
she {pron} (person)	 :: hun {f}
shea butter {n} (fat extracted from the fruit of the shea tree)	 :: [Bokmål] sheasmør {n}
sheaf {n} (mathematical construct)	 :: knippe {n}
shear {n} (a cutting tool similar to scissors)	 :: bøylesaks {c}
shear {n} (a force that produces a shearing strain)	 :: klipp {n}
shear {n} (the act of shearing, or something removed by shearing)	 :: klipp {m}
shear {v} (to cut)	 :: klippe
shear {v} (to deform because of shearing forces)	 :: klippe
shear {v} (to remove the fleece from a sheep)	 :: klippe
sheath {n} (condom) SEE: condom	 ::
sheath {n} (scabbard)	 :: slire {m} {f}, skjede {m}
sheathe {v} (to put something, such as a knife, into a sheath)	 :: stikke i sliren
she-cat {n} (a female cat)	 :: [Bokmål] hunnkatt {m}, hunkatt {m}, katte {f} {m}, kjette {f} {m}; [Nynorsk] hokatt {f}, katte {f}, katta {f}, kjette {f}
sheep {n} (animal)	 :: sau {m}, får {n}
sheepdog {n} (dog used for herding sheep)	 :: fårehund {c}
sheepherder {n} (shepherd) SEE: shepherd	 ::
sheer {adj} (pure; unmixed)	 :: [Bokmål] ren, ublandet; [Nynorsk] rein, ublanda
sheer {adj} (straight up and down; vertical; perpendicular)	 :: [Bokmål] rett, vertikal, bratt
sheer {adj} (very thin or transparent)	 :: [Bokmål] gjennomskinnelig
sheesh {interj} (An expression of exasperation)	 :: jøss, jøsses
sheet {n} (bedsheet) SEE: bedsheet	 ::
sheet {n} (sheet of paper)	 :: papir
sheik {n} (Islamic religious clergy)	 :: [Bokmål] sjeik {m}; [Nynorsk] sjeik {m}
sheik {n} (leader of an Arab village, family or small tribe)	 :: [Bokmål] sjeik {m}; [Nynorsk] sjeik {m}
shekel {n} (sheqel) SEE: sheqel	 ::
shelf {n} (structure)	 :: [Bokmål] hylle {m} {f}; [Nynorsk] hylle {f}
shelter {n} (a refuge or other protection)	 :: ly
shelve {v} (to store, set aside, quit, or halt)	 :: henlegge {c-p}
shenanigan {n} (shenanigans) SEE: shenanigans	 ::
Sheremetyevo {prop} (airport in Russia)	 :: Sjeremetjevo
sheriff {n} (all meanings)	 :: sheriff {m}, lensmann {m}
she-tiger {n} (tigress) SEE: tigress	 ::
Shetland {prop} (Shetland Islands) SEE: Shetland Islands	 ::
Shetland Islands {prop} (group of islands)	 :: [Bokmål] Shetlandsøyene; [Nynorsk] Shetlandsøyane, Shetlandsøyene
shield {n} (anything that protects or defends)	 :: skjold, skjerm {m}, vern
shield {n} (armor)	 :: skjold {n}
shield {v} (to protect, to defend)	 :: skjerme, verne
shift {n} (type of women's undergarment) SEE: slip	 ::
shimmer {v} (to shine with a veiled light; to gleam faintly; to glisten; to glimmer)	 :: skimre, skimra
Shimon {prop} (male given name) SEE: Simeon	 ::
Shimshon {prop} (given name) SEE: Samson	 ::
shin {n} (front part of the leg below the knee)	 :: [Bokmål] skinneben {n}, skinnebein, tibia; [Nynorsk] skinnebein {n}, tibia
shinbone {n} (tibia)	 :: skinneben
shine {n} (shoeshine) SEE: shoeshine	 ::
shine {n} (slang: moonshine) SEE: moonshine	 ::
shine {n} (sunshine) SEE: sunshine	 ::
shiner {n} (black eye) SEE: black eye	 ::
shingles {n} (herpes zoster)	 :: helvetesild
shinkansen {n} (bullet train) SEE: bullet train	 ::
Shintoism {prop} (Shinto) SEE: Shinto	 ::
ship {n} (large water vessel)	 :: [Bokmål] skip {n}; [Nynorsk] skip {n}
shipyard {n} (place to build and repair ships)	 :: verft {n}
Shiraz {n} (variety of black grape)	 :: Syrah
shirt {n} (article of clothing)	 :: [Bokmål] skjorte {m} {f}; [Nynorsk] skjorte {f}
shit {interj} (expression of worry, failure)	 :: faen
shit {n} (definite plural: diarrhea)	 :: diaré {m}
shit {n} (not anything, nothing)	 :: en dritt
shit {n} (solid excretory product evacuated from the bowel)	 :: dritt {m}, skitt {m}, avføring {m}, bæsj {m}, skit {m}, møkk {c}, ekskrement {n}, lort {m}
shit ass {n} (shitass) SEE: shitass	 ::
